Team,Mat,Won,Lost,Tied,Draw,Undecided,W/L,Ave,RPO,Inns,HS,LS,Year
Australia,5,2,0,0,3,3,-,39.98,2.89,8,536,107,1947
Australia,8,7,0,0,1,1,-,51.9,2.95,13,674,221,1948
Australia,2,2,0,0,0,0,-,54,2.96,3,526,413,1949
Australia,5,4,0,0,1,1,-,33.6,2.76,9,549,75,1950
Australia,7,5,2,0,0,0,2.5,30.28,2.48,13,517,82,1951
Australia,3,2,1,0,0,0,2,26.38,2.39,6,377,116,1952
Australia,8,1,2,0,5,5,0.5,31.28,2.73,15,530,123,1953
Australia,3,1,2,0,0,0,0.5,28.22,3.05,5,601,111,1954
Australia,7,3,1,0,3,3,3,42.26,2.64,12,758,111,1955
Australia,9,3,3,0,3,3,1,21.58,2.01,16,523,80,1956
Australia,2,1,0,0,1,1,-,42.56,2.31,3,449,368,1957
Australia,5,4,0,0,1,1,-,30.14,1.92,10,401,163,1958
Australia,8,5,1,0,2,2,5,33.93,2.75,15,476,105,1959
Australia,5,2,0,1,2,3,-,37.03,2.81,9,505,232,1960
Australia,8,3,2,0,3,3,1.5,31.26,2.42,14,516,120,1961
Australia,2,0,1,0,1,1,0,39.11,2.61,4,404,248,1962
Australia,4,1,0,0,3,3,-,37.75,2.44,8,435,293,1963
Australia,14,3,2,0,9,9,1.5,36.19,2.63,27,656,168,1964
Australia,7,1,2,0,4,4,0.5,38.34,2.66,12,650,144,1965
Australia,5,2,2,0,1,1,1,38.36,2.58,8,543,174,1966
Australia,5,2,2,0,1,1,1,27.9,2.61,9,529,143,1967
Australia,9,4,2,0,3,3,2,29.17,2.35,17,510,78,1968
Australia,8,5,1,0,2,2,5,37.98,2.64,16,619,107,1969
Australia,6,0,4,0,2,2,0,26.21,2.49,12,440,157,1970
Australia,4,0,2,0,2,2,0,30.78,2.32,8,493,116,1971
Australia,7,4,2,0,1,1,2,35.81,2.99,13,585,136,1972
Australia,7,4,0,0,3,3,-,42.74,2.73,13,462,184,1973
Australia,8,4,1,0,3,3,4,35.57,2.92,15,511,162,1974
Australia,10,5,2,0,3,3,2.5,37.86,2.98,19,532,135,1975
Australia,4,3,0,0,1,1,-,45.1,3.07,8,454,351,1976
Australia,13,5,5,0,3,3,1,30.08,2.94,25,552,103,1977
Australia,10,3,6,0,1,1,0.5,25.35,2.67,20,505,90,1978
Australia,14,2,7,0,5,5,0.285,27.26,2.51,28,448,111,1979
Australia,10,4,2,0,4,4,2,34.24,2.73,19,617,140,1980
Australia,13,5,5,0,3,3,1,29.18,2.76,25,528,83,1981
Australia,12,3,6,0,3,3,0.5,31.16,2.73,23,438,168,1982
Australia,6,2,0,0,4,4,-,52.01,3.17,8,555,314,1983
Australia,11,2,6,0,3,3,0.333,26.91,2.84,21,471,76,1984
Australia,11,2,5,0,4,4,0.4,30.04,2.66,21,539,129,1985
Australia,11,0,3,1,7,8,0,37.1,2.54,20,574,103,1986
Australia,4,2,0,0,2,2,-,34.65,2.46,7,496,251,1987
Australia,8,1,4,0,3,3,0.25,28.86,2.61,15,455,114,1988
Australia,11,6,0,0,5,5,-,52.97,3.14,20,602,224,1989
Australia,6,3,1,0,2,2,3,31.74,2.62,11,341,110,1990
Australia,10,4,2,0,4,4,2,33.67,2.88,19,518,134,1991
Australia,8,4,0,0,4,4,-,32.87,2.69,16,471,145,1992
Australia,16,7,4,0,5,5,1.75,44.08,3.07,25,653,119,1993
Australia,10,4,3,0,3,3,1.333,35.45,2.87,19,521,111,1994
Australia,12,7,3,0,2,2,2.333,35.29,3.1,21,617,105,1995
Australia,5,3,2,0,0,0,1.5,33.09,2.88,10,502,122,1996
Australia,15,8,4,0,3,3,2,33.46,3.1,25,628,104,1997
Australia,12,5,3,0,4,4,1.666,37.82,2.88,22,599,162,1998
Australia,14,9,3,0,2,2,3,32.47,3.08,25,575,140,1999
Australia,8,8,0,0,0,0,-,39.02,3.42,13,552,214,2000
Australia,14,8,3,0,3,3,2.666,44.43,3.77,25,641,190,2001
Australia,11,10,1,0,0,0,10,45.5,3.99,17,652,127,2002
Australia,12,8,3,0,1,1,2.666,54.25,4.08,21,735,196,2003
Australia,14,10,1,0,3,3,10,38.43,3.55,27,585,93,2004
Australia,15,9,2,0,4,4,4.5,40.47,3.71,29,570,190,2005
Australia,10,10,0,0,0,0,-,48.58,3.64,18,602,244,2006
Australia,4,4,0,0,0,0,-,64.1,3.9,7,551,343,2007
Australia,14,5,5,0,4,4,1,37.38,3.31,26,577,167,2008
Australia,13,7,3,0,3,3,2.333,41.73,3.5,23,674,150,2009
Australia,12,6,5,0,1,1,1.2,33.82,3.27,24,519,88,2010
Australia,9,4,3,0,2,2,1.333,29.38,3.27,17,488,47,2011
Australia,11,7,1,0,3,3,7,44.28,3.57,18,659,163,2012
Australia,14,5,7,0,2,2,0.714,33.22,3.25,28,570,128,2013
Australia,9,5,3,0,1,1,1.666,38.32,3.75,18,530,216,2014
Australia,13,8,3,0,2,2,2.666,47.01,3.93,24,583,60,2015
Australia,11,5,5,0,1,1,1,32.62,3.33,19,624,85,2016
Australia,11,6,3,0,2,2,2,35.65,3.06,21,662,112,2017
Australia,10,3,6,0,1,1,0.5,26.03,2.89,19,649,107,2018
Australia,12,8,2,0,2,2,4,40.53,3.49,21,589,179,2019
Australia,3,2,1,0,0,0,2,30.68,2.86,6,454,191,2020
Australia,2,0,1,0,1,1,0,36.47,3.42,4,369,294,2021
England,2,1,1,0,0,0,1,19.08,2.67,4,261,108,1877
England,1,0,1,0,0,0,0,13.65,2.98,2,160,113,1879
England,1,1,0,0,0,0,-,31.8,2.92,2,420,420,1880
England,1,0,0,0,1,1,0,30.1,2.25,2,308,294,1881
England,5,0,4,0,1,1,0,19.06,2.43,10,309,77,1882
England,3,2,1,0,0,0,2,22.48,2.44,5,294,123,1883
England,4,2,0,0,2,2,-,28.69,2.6,7,379,95,1884
England,4,2,2,0,0,0,1,24.66,2.73,7,401,77,1885
England,3,3,0,0,0,0,-,31.02,2.09,4,434,223,1886
England,2,2,0,0,0,0,-,13.35,1.9,4,184,45,1887
England,4,3,1,0,0,0,3,14.23,2.44,6,317,53,1888
England,2,2,0,0,0,0,-,23.04,3.6,3,292,148,1889
England,2,2,0,0,0,0,-,16.29,2.08,4,173,100,1890
England,4,2,2,0,0,0,1,29.21,2.79,6,499,156,1892
England,3,1,0,0,2,2,-,33.61,2.68,5,483,243,1893
England,2,2,0,0,0,0,-,32.8,2.32,4,475,75,1894
England,3,1,2,0,0,0,0.5,20.9,2.62,6,385,65,1895
England,6,5,1,0,0,0,5,24.74,3.18,10,482,84,1896
England,1,1,0,0,0,0,-,58.81,3.18,2,551,551,1897
England,4,0,4,0,0,0,0,24.68,2.35,8,335,150,1898
England,7,2,1,0,4,4,2,26.41,2.79,13,576,92,1899
England,1,1,0,0,0,0,-,46.4,2.49,1,464,464,1901
England,9,1,6,0,2,2,0.166,22.14,2.55,16,388,61,1902
England,1,1,0,0,0,0,-,51.4,2.78,2,577,577,1903
England,4,2,2,0,0,0,1,20.28,2.33,8,315,61,1904
England,5,2,0,0,3,3,-,39.26,2.74,9,446,196,1905
England,5,1,4,0,0,0,0.25,19.25,2.62,10,295,130,1906
England,4,1,1,0,2,2,1,23.88,2.95,7,428,76,1907
England,4,1,3,0,0,0,0.333,25.45,2.65,8,382,105,1908
England,5,1,2,0,2,2,0.5,21.18,2.5,10,352,87,1909
England,5,2,3,0,0,0,0.666,26.61,3.55,10,417,178,1910
England,2,1,1,0,0,0,1,34.15,2.79,4,318,265,1911
England,9,7,0,0,2,2,-,30.66,2.74,14,589,175,1912
England,2,2,0,0,0,0,-,42.65,3.05,2,450,403,1913
England,3,2,0,0,1,1,-,28.55,2.7,6,411,163,1914
England,2,0,2,0,0,0,0,23.13,2.77,4,281,157,1920
England,8,0,6,0,2,2,0,31.15,3.02,16,447,112,1921
England,1,0,1,0,0,0,0,20,2.55,2,218,182,1922
England,4,2,0,0,2,2,-,29.34,2.3,8,428,183,1923
England,6,3,1,0,2,2,3,50.09,3.42,7,531,298,1924
England,4,1,3,0,0,0,0.333,33.68,2.46,7,548,146,1925
England,5,1,0,0,4,4,-,50.63,2.58,7,475,280,1926
England,2,2,0,0,0,0,-,31.03,2.47,4,428,133,1927
England,9,6,2,0,1,1,3,38.25,2.69,15,636,118,1928
England,7,3,1,0,3,3,3,39.26,2.71,13,519,245,1929
England,14,3,4,0,7,7,0.75,35.65,2.86,26,849,145,1930
England,7,1,0,0,6,6,-,39.7,2.9,11,454,230,1931
England,3,2,1,0,0,0,2,28.47,2.33,6,524,139,1932
England,9,6,0,0,3,3,-,44.16,2.71,13,560,296,1933
England,7,2,2,0,3,3,1,34.65,2.34,13,627,141,1934
England,9,1,3,0,5,5,0.333,27.41,2.75,16,534,103,1935
England,5,4,0,0,1,1,-,44.22,2.71,8,571,134,1936
England,6,1,3,0,2,2,0.333,28.56,2.73,12,424,165,1937
England,6,1,1,0,4,4,1,51.51,3.03,9,903,123,1938
England,6,2,0,0,4,4,-,51.07,2.79,11,654,215,1939
England,5,1,2,0,2,2,0.5,28.77,2.33,9,428,141,1946
England,9,3,1,0,5,5,3,42.37,2.46,17,554,186,1947
England,11,1,6,0,4,4,0.166,28.74,2.35,21,608,52,1948
England,7,1,0,0,6,6,-,42.18,2.9,12,482,308,1949
England,6,1,5,0,0,0,0.2,22.8,1.89,12,436,103,1950
England,13,5,3,0,5,5,1.666,32.5,2.24,24,550,114,1951
England,6,4,1,0,1,1,4,34.43,2.28,10,537,183,1952
England,5,1,0,0,4,4,-,29.62,2.08,9,372,144,1953
England,12,5,4,0,3,3,1.25,29.85,2.32,21,558,130,1954
England,9,6,2,0,1,1,3,27.27,2.11,15,381,133,1955
England,6,3,1,0,2,2,3,28.48,2.19,10,459,150,1956
England,9,4,2,0,3,3,2,34.11,2.23,15,619,110,1957
England,7,4,2,0,1,1,2,25.97,2.21,10,365,87,1958
England,10,6,2,0,2,2,3,33.9,2.55,15,490,205,1959
England,10,4,0,0,6,6,-,33.49,2.53,19,482,155,1960
England,10,2,3,0,5,5,0.666,35.16,2.41,19,500,195,1961
England,10,5,1,0,4,4,5,48.3,2.8,16,544,209,1962
England,11,4,4,0,3,3,1,30.14,2.56,20,562,104,1963
England,12,1,1,0,10,10,1,40.28,2.32,18,611,182,1964
England,11,3,1,0,7,7,3,39.89,2.55,21,558,202,1965
England,11,2,4,0,5,5,0.5,32.54,2.61,19,527,167,1966
England,6,5,0,0,1,1,-,37.68,2.61,11,550,203,1967
England,10,2,1,0,7,7,2,36,2.39,17,568,165,1968
England,9,4,0,0,5,5,-,34.37,2.41,16,502,190,1969
England,2,0,0,0,2,2,0,43.96,2.24,4,464,397,1970
England,12,4,1,0,7,7,4,35.2,2.54,24,470,101,1971
England,7,3,3,0,1,1,1,25.36,2.3,14,356,116,1972
England,12,2,3,0,7,7,0.666,34.03,2.51,22,487,159,1973
England,14,4,3,0,7,7,1.333,35.28,2.46,24,629,131,1974
England,9,2,3,0,4,4,0.666,34.54,2.68,15,593,101,1975
England,6,1,3,0,2,2,0.333,27.44,2.64,11,435,71,1976
England,11,5,2,0,4,4,2.5,29.16,2.33,20,437,95,1977
England,14,8,2,0,4,4,4,30.27,2.2,23,452,64,1978
England,8,4,1,0,3,3,4,33.39,2.58,13,633,152,1979
England,9,1,3,0,5,5,0.333,28.49,2.75,18,391,123,1980
England,13,3,4,0,6,6,0.75,27.45,2.69,26,476,102,1981
England,14,5,3,0,6,6,1.666,32.99,2.84,25,594,216,1982
England,5,3,1,0,1,1,3,31.58,2.86,10,446,209,1983
England,15,1,8,0,6,6,0.125,27.92,2.61,26,546,82,1984
England,8,4,1,0,3,3,4,51.62,3.42,13,652,261,1985
England,15,2,8,0,5,5,0.25,27.85,2.94,28,592,102,1986
England,9,0,3,0,6,6,0,28.43,2.58,16,521,130,1987
England,10,1,4,0,5,5,0.25,26.68,2.55,17,429,93,1988
England,6,0,4,0,2,2,0,27.71,2.95,11,430,167,1989
England,12,3,4,0,5,5,0.75,36.47,3.04,23,653,114,1990
England,9,3,3,0,3,3,1,31.31,2.97,17,469,182,1991
England,8,3,2,0,3,3,1.5,32.88,3.1,13,580,174,1992
England,10,1,8,0,1,1,0.125,29.34,2.54,20,422,163,1993
England,13,3,6,0,4,4,0.5,31.43,2.85,23,593,46,1994
England,13,3,3,0,7,7,1,32.05,2.78,24,454,89,1995
England,9,1,3,0,5,5,0.333,32.28,2.78,16,564,153,1996
England,9,4,3,0,2,2,1.333,28.73,2.84,16,521,77,1997
England,16,4,7,0,5,5,0.571,26.33,2.47,31,462,110,1998
England,8,1,4,0,3,3,0.25,24.25,2.56,15,373,122,1999
England,12,6,2,0,4,4,3,27.91,2.56,22,480,125,2000
England,13,4,7,0,2,2,0.571,27.81,2.9,25,432,162,2001
England,14,4,6,0,4,4,0.666,37.59,3.37,26,617,79,2002
England,13,7,3,0,3,3,2.333,34.89,3.03,24,604,118,2003
England,13,11,0,0,2,2,-,43.62,3.49,26,570,139,2004
England,13,5,4,0,4,4,1.25,35.52,3.62,24,528,155,2005
England,14,5,6,0,3,3,0.833,34.13,3.16,26,551,129,2006
England,11,3,3,0,5,5,1,35.73,3.39,21,570,81,2007
England,12,5,4,0,3,3,1.25,33.96,3.02,21,593,110,2008
England,14,5,2,0,7,7,2.5,42.32,3.56,24,600,51,2009
England,14,9,3,0,2,2,3,39.91,3.42,24,620,123,2010
England,8,6,0,0,2,2,-,59.16,3.81,11,710,221,2011
England,15,5,7,0,3,3,0.714,32.52,3,29,523,72,2012
England,14,5,4,0,5,5,1.25,30,2.85,27,465,136,2013
England,8,3,3,0,2,2,1,37.96,3.44,13,575,155,2014
England,14,6,6,0,2,2,1,32.53,3.27,27,598,103,2015
England,17,6,8,0,3,3,0.75,34.52,3.28,33,629,101,2016
England,11,5,5,0,1,1,1,32.06,3.37,20,514,133,2017
England,13,8,4,0,1,1,2,29.82,3.27,24,423,58,2018
England,12,4,6,0,2,2,0.666,26.15,2.97,23,476,67,2019
England,9,6,1,0,2,2,6,39.21,3.37,15,583,204,2020
England,8,3,4,0,1,1,0.75,24.72,2.94,16,578,81,2021
South Africa,2,0,2,0,0,0,0,7.57,1.88,4,129,43,1889
South Africa,1,0,1,0,0,0,0,9,2,2,97,83,1892
South Africa,3,0,3,0,0,0,0,10.66,3.05,6,151,30,1896
South Africa,2,0,2,0,0,0,0,14.05,2.79,4,251,35,1899
South Africa,3,0,2,0,1,1,0,22.03,3.98,6,454,85,1902
South Africa,5,4,1,0,0,0,4,28.14,2.78,9,385,91,1906
South Africa,3,0,1,0,2,2,0,17.64,2.79,6,185,75,1907
South Africa,7,3,4,0,0,0,0.75,25.38,2.94,14,506,80,1910
South Africa,3,1,2,0,0,0,0.5,30.15,3.1,6,482,160,1911
South Africa,6,0,5,0,1,1,0,17.21,2.63,11,329,58,1912
South Africa,2,0,2,0,0,0,0,17.1,2.67,4,231,111,1913
South Africa,3,0,2,0,1,1,0,22.89,2.68,6,305,151,1914
South Africa,3,0,1,0,2,2,0,27.76,2.47,6,472,180,1921
South Africa,1,1,0,0,0,0,-,28.4,3.15,2,420,148,1922
South Africa,4,0,2,0,2,2,0,26.63,2.47,7,368,113,1923
South Africa,5,0,3,0,2,2,0,24.94,2.41,8,390,30,1924
South Africa,2,0,2,0,0,0,0,21,2.4,4,250,170,1927
South Africa,3,2,0,0,1,1,-,37.09,2.95,6,464,246,1928
South Africa,5,0,2,0,3,3,0,30.14,2.24,9,492,130,1929
South Africa,1,1,0,0,0,0,-,21.6,2.92,2,306,126,1930
South Africa,7,0,3,0,4,4,0,25.54,2.1,13,513,117,1931
South Africa,4,2,2,0,0,0,1,27,2.62,7,451,36,1932
South Africa,7,1,1,0,5,5,1,31.85,2.57,14,491,157,1935
South Africa,3,0,3,0,0,0,0,16.46,2.16,6,227,98,1936
South Africa,2,0,0,0,2,2,0,42.82,2.06,4,390,286,1938
South Africa,3,0,1,0,2,2,0,37.83,2.24,5,530,103,1939
South Africa,5,0,3,0,2,2,0,33.72,2.43,10,533,175,1947
South Africa,2,0,1,0,1,1,0,30.15,2.13,4,315,161,1948
South Africa,5,0,3,0,2,2,0,30.67,2.29,10,379,137,1949
South Africa,3,0,2,0,1,1,0,21.04,2.09,5,352,99,1950
South Africa,5,1,3,0,1,1,0.333,25.68,2.08,10,538,115,1951
South Africa,2,1,1,0,0,0,1,26.9,2.18,4,388,221,1952
South Africa,7,4,1,0,2,2,4,36.21,2.39,12,524,148,1953
South Africa,3,2,0,0,1,1,-,30.89,2.09,6,326,237,1954
South Africa,5,2,3,0,0,0,0.666,24.93,2.28,10,521,111,1955
South Africa,1,0,1,0,0,0,0,14.35,1.75,2,215,72,1956
South Africa,6,2,2,0,2,2,1,21.4,1.86,12,470,72,1957
South Africa,3,0,2,0,1,1,0,22.86,1.71,5,384,144,1958
South Africa,5,0,3,0,2,2,0,21.54,2.52,10,419,88,1960
South Africa,2,1,0,0,1,1,-,26.13,3.17,4,322,149,1961
South Africa,3,1,2,0,0,0,0.5,29.04,2.63,5,464,190,1962
South Africa,1,0,0,0,1,1,0,32.63,1.89,2,346,346,1963
South Africa,9,1,2,0,6,6,0.5,36.35,2.47,18,595,155,1964
South Africa,6,1,0,0,5,5,-,39.1,2.69,12,502,208,1965
South Africa,2,1,1,0,0,0,1,38.47,2.86,4,620,199,1966
South Africa,3,2,0,0,1,1,-,37.41,2.71,5,332,276,1967
South Africa,4,4,0,0,0,0,-,40.35,3,7,622,232,1970
South Africa,4,1,1,0,2,2,1,30.59,2.33,8,345,148,1992
South Africa,5,1,0,0,4,4,-,37.89,2.3,8,495,267,1993
South Africa,10,4,4,0,2,2,1,29.29,2.55,19,450,129,1994
South Africa,8,4,0,0,4,4,-,35.48,2.92,13,460,225,1995
South Africa,5,3,2,0,0,0,1.5,27.81,2.91,10,428,105,1996
South Africa,9,3,2,0,4,4,1.5,30.54,2.86,16,529,130,1997
South Africa,15,7,4,0,4,4,1.75,31.48,2.95,28,552,113,1998
South Africa,10,6,0,0,4,4,-,53.38,2.94,15,621,156,1999
South Africa,11,6,2,0,3,3,3,32.29,2.74,18,479,176,2000
South Africa,13,6,3,0,4,4,2,37.4,2.83,23,600,128,2001
South Africa,9,6,3,0,0,0,2,37.18,3.29,15,529,133,2002
South Africa,12,7,3,0,2,2,2.333,47.42,3.54,19,682,131,2003
South Africa,11,2,4,0,5,5,0.5,39.91,3.06,22,604,179,2004
South Africa,11,5,2,0,4,4,2.5,42.77,3.17,19,588,181,2005
South Africa,11,3,7,0,1,1,0.428,29.62,3.21,21,512,84,2006
South Africa,9,6,2,0,1,1,3,35.48,3.12,17,450,124,2007
South Africa,15,11,2,0,2,2,5.5,45.13,3.26,25,583,121,2008
South Africa,6,1,4,0,1,1,0.25,33.3,2.94,11,651,133,2009
South Africa,11,5,2,0,4,4,2.5,47.69,3.32,19,620,131,2010
South Africa,5,2,2,0,1,1,1,30,3.34,9,411,96,2011
South Africa,10,5,0,0,5,5,-,46.62,3.27,19,637,225,2012
South Africa,9,7,1,0,1,1,7,40.78,3.35,14,525,232,2013
South Africa,8,4,2,0,2,2,2,37.16,2.87,14,552,200,2014
South Africa,8,1,4,0,3,3,0.25,20.33,2.52,13,421,79,2015
South Africa,9,5,2,0,2,2,2.5,37.93,3.23,15,627,83,2016
South Africa,12,7,3,0,2,2,2.333,35.36,3.39,21,573,119,2017
South Africa,10,6,4,0,0,0,1.5,26.23,3.19,20,488,73,2018
South Africa,8,3,5,0,0,0,0.6,25.29,3.3,16,431,128,2019
South Africa,4,1,3,0,0,0,0.333,28.5,2.89,7,621,183,2020
South Africa,5,3,2,0,0,0,1.5,26.28,3.09,9,322,174,2021
West Indies,3,0,3,0,0,0,0,17.18,2.32,6,238,115,1928
West Indies,5,1,2,0,2,2,0.5,33.88,2.58,10,471,212,1930
West Indies,4,1,3,0,0,0,0.333,17.65,2.35,8,350,90,1931
West Indies,3,0,2,0,1,1,0,19.4,2.79,6,375,97,1933
West Indies,4,2,1,0,1,1,2,28.85,2.83,7,535,102,1935
West Indies,3,0,1,0,2,2,0,26.72,2.9,5,498,133,1939
West Indies,7,2,0,0,5,5,-,46.8,3.2,12,631,296,1948
West Indies,2,1,0,0,1,1,-,37.83,2.92,3,582,267,1949
West Indies,4,3,1,0,0,0,3,41.3,2.59,7,558,183,1950
West Indies,4,1,3,0,0,0,0.333,26.02,2.56,8,362,105,1951
West Indies,3,1,1,0,1,1,1,30.87,2.84,5,546,78,1952
West Indies,5,1,0,0,4,4,-,40.04,2.5,9,576,228,1953
West Indies,5,2,2,0,1,1,1,39.82,2.76,10,681,139,1954
West Indies,5,0,3,0,2,2,0,33.31,3.24,10,510,182,1955
West Indies,4,3,1,0,0,0,3,27.56,2.67,6,404,77,1956
West Indies,5,0,3,0,2,2,0,22.33,2.28,10,474,86,1957
West Indies,8,5,1,0,2,2,5,50.85,3.12,14,790,222,1958
West Indies,5,2,2,0,1,1,1,33.15,2.71,8,644,76,1959
West Indies,7,0,2,1,4,5,0,33.78,2.42,12,563,112,1960
West Indies,3,1,1,0,1,1,1,37.55,2.86,6,432,292,1961
West Indies,5,5,0,0,0,0,-,42.76,2.52,8,631,253,1962
West Indies,5,3,1,0,1,1,3,31.23,2.53,10,501,91,1963
West Indies,5,2,1,0,2,2,2,33.31,2.82,10,573,131,1965
West Indies,7,5,1,0,1,1,5,41.23,2.82,11,500,225,1966
West Indies,1,0,0,0,1,1,0,39.76,3,2,406,406,1967
West Indies,7,1,2,0,4,4,0.5,34.4,2.88,14,526,143,1968
West Indies,9,1,5,0,3,3,0.2,31.45,2.93,17,616,147,1969
West Indies,5,0,1,0,4,4,0,40.5,2.73,10,526,214,1971
West Indies,5,0,0,0,5,5,0,43.9,2.76,10,564,133,1972
West Indies,8,2,2,0,4,4,1,35.25,2.77,15,652,109,1973
West Indies,8,3,2,0,3,3,1.5,40.07,3.11,12,596,199,1974
West Indies,7,2,3,0,2,2,0.666,37.14,3.51,13,604,154,1975
West Indies,12,5,4,0,3,3,1.25,36.09,3.38,23,687,128,1976
West Indies,5,2,1,0,2,2,2,33.86,3.12,10,448,154,1977
West Indies,8,3,1,0,4,4,3,33.48,3.06,14,493,205,1978
West Indies,5,1,1,0,3,3,1,32.53,3.21,9,452,151,1979
West Indies,13,3,1,0,9,9,3,29.03,2.93,20,518,140,1980
West Indies,5,2,1,0,2,2,2,36.03,2.92,7,468,161,1981
West Indies,2,1,0,0,1,1,-,36.2,3.46,4,389,255,1982
West Indies,11,5,0,0,6,6,-,38.02,2.96,17,550,201,1983
West Indies,15,11,1,0,3,3,11,41.05,3.53,25,606,163,1984
West Indies,4,2,0,0,2,2,-,42.3,3.22,8,511,307,1985
West Indies,8,6,1,0,1,1,6,31.09,3.18,14,474,53,1986
West Indies,6,2,1,0,3,3,2,35.45,3.07,12,530,100,1987
West Indies,12,8,2,0,2,2,4,32.6,3.25,22,449,160,1988
West Indies,6,3,1,0,2,2,3,35.01,2.91,11,437,224,1989
West Indies,7,3,2,0,2,2,1.5,26.73,3.37,13,446,164,1990
West Indies,10,4,3,0,3,3,1.333,33.16,3.21,19,569,149,1991
West Indies,3,1,1,0,1,1,1,25.87,3,6,371,219,1992
West Indies,7,4,0,0,3,3,-,33.12,3.58,11,606,127,1993
West Indies,8,4,2,0,2,2,2,39.73,3.14,15,593,237,1994
West Indies,12,4,4,0,4,4,1,33.62,3.33,20,692,136,1995
West Indies,5,2,2,0,1,1,1,32.92,2.86,10,548,184,1996
West Indies,12,3,4,0,5,5,0.75,27.17,3.1,22,427,130,1997
West Indies,9,3,4,0,2,2,0.75,25.11,2.82,15,500,121,1998
West Indies,8,2,6,0,0,0,0.333,23.42,2.7,16,431,51,1999
West Indies,14,4,7,0,3,3,0.571,22.17,2.62,26,438,54,2000
West Indies,11,2,6,0,3,3,0.333,30.23,2.68,21,559,140,2001
West Indies,14,4,6,0,4,4,0.666,31.53,2.92,23,629,107,2002
West Indies,10,3,5,0,2,2,0.6,32.71,3.28,19,481,128,2003
West Indies,12,1,8,0,3,3,0.125,34.21,3.51,22,751,47,2004
West Indies,11,1,8,0,2,2,0.125,29.07,3.08,20,747,113,2005
West Indies,10,0,5,0,5,5,0,30.47,3.14,18,591,103,2006
